;gamintojas;metai;kaina;rida;pavaros;kuras;variklis
2198;Honda CR-V;2007;5 400 €;241 000 km;Automatinė;Benzinas / dujos;2.0 l., 110kW
2199;BMW 320;2011;5 400 €;340 026 km;Automatinė;Dyzelinas;2.0 l., 135kW
2200;Peugeot 5008;2012;5 400 €;258 946 km;Automatinė;Dyzelinas;1.6 l., 82kW
2201;Toyota Avensis;2013;5 400 €;282 642 km;Mechaninė;Dyzelinas;2.0 l., 91kW
2202;Skoda Octavia;2016;5 400 €;331 000 km;Automatinė;Dyzelinas;1.6 l., 81kW
2203;Lexus RX 400h;2006;5 400 €;337 000 km;Automatinė;Benzinas / elektra / dujos;3.3 l., 199kW
2204;Volkswagen Cross Touran;2008;5 400 €;267 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
2205;Opel Astra;2011;5 400 €;158 537 km;Automatinė;Benzinas;1.4 l., 103kW
2206;Mercedes-Benz ML320;2006;5 400 €;322 000 km;Automatinė;Dyzelinas;3.0 l., 165kW
2207;Volkswagen Multivan;1998;5 400 €;316 291 km;Mechaninė;Dyzelinas;2.5 l., 75kW
2208;Seat Alhambra;2008;5 400 €;240 017 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2209;Opel Zafira;2012;5 400 €;304 496 km;Mechaninė;Dyzelinas;1.7 l., 81kW
2210;Toyota Avensis;2009;5 400 €;349 814 km;Mechaninė;Dyzelinas;2.0 l., 93kW
2211;Volvo XC70;2009;5 435 €;265 500 km;Automatinė;Dyzelinas;2.4 l., 136kW
2212;Volvo V60;2011;5 450 €;286 500 km;Automatinė;Dyzelinas;2.0 l., 120kW
2213;Mazda 3;2010;5 450 €;197 696 km;Mechaninė;Benzinas;1.6 l., 77kW
2214;Audi A6;2008;5 450 €;284 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2215;Volkswagen Transporter;2011;5 450 €;264 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2216;Opel Insignia;2011;5 450 €;282 067 km;Mechaninė;Benzinas;2.0 l., 184kW
2217;Nissan X-Trail;2009;5 450 €;189 097 km;Mechaninė;Dyzelinas;2.0 l., 110kW
2218;Opel Antara;2009;5 450 €;238 975 km;Mechaninė;Dyzelinas;2.0 l., 110kW
2219;Ford Kuga;2009;5 450 €;261 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2220;Skoda Octavia;2012;5 450 €;257 000 km;Mechaninė;Dyzelinas;2.0 l., 81kW
2221;Opel Insignia;2009;5 450 €;187 000 km;Automatinė;Dyzelinas;2.0 l., 118kW
2222;Audi A5;2009;5 450 €;380 000 km;Automatinė;Dyzelinas;2.7 l., 140kW
2223;Opel Adam;2017;5 450 €;132 500 km;Automatinė;Benzinas;1.4 l., 64kW
2224;BMW 330;2007;5 450 €;310 000 km;Automatinė;Dyzelinas;3.0 l., 170kW
2225;Peugeot 3008;2012;5 450 €;148 500 km;Mechaninė;Dyzelinas;1.6 l., 82kW
2226;Peugeot 5008;2012;5 490 €;240 000 km;Mechaninė;Dyzelinas;1.6 l., 82kW
2227;Volvo V60;2012;5 490 €;246 000 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2228;Audi A3;2008;5 490 €;193 500 km;Mechaninė;Benzinas;1.4 l., 92kW
2229;Lexus IS 220;2008;5 499 €;210 568 km;Mechaninė;Dyzelinas;2.2 l., 130kW
2230;Opel Insignia;2012;5 499 €;276 230 km;Automatinė;Dyzelinas;2.0 l., 118kW
2231;Honda Civic;2011;5 499 €;282 912 km;Mechaninė;Benzinas;1.3 l., 73kW
2232;Audi A3;2009;5 499 €;332 000 km;Mechaninė;Dyzelinas;1.9 l., 77kW
2233;Peugeot 308;2015;5 499 €;152 000 km;Mechaninė;Dyzelinas;1.6 l., 88kW
2234;Volkswagen Beetle;2006;5 499 €;124 106 km;Mechaninė;Benzinas;1.6 l., 75kW
2235;Ford Kuga;2012;5 500 €;225 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
2236;Ford Expedition;2008;5 500 €;164 544 km;Automatinė;Benzinas;5.4 l., 221kW
2237;Toyota Auris;2011;5 500 €;247 000 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
2238;Mercedes-Benz Sprinter;2015;5 500 €;350 000 km;Mechaninė;Dyzelinas;2.1 l., 120kW
2239;Peugeot 208;2017;5 500 €;106 200 km;Mechaninė;Benzinas;1.2 l., 60kW
2240;Hyundai Santa Fe;2007;5 500 €;220 000 km;Mechaninė;Benzinas;2.7 l., 139kW
2241;Volkswagen Passat;2010;5 500 €;175 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2242;Volkswagen Tiguan;2015;5 500 €;220 000 km;Automatinė;Benzinas;2.0 l., 155kW
2243;Audi A6;2008;5 500 €;350 940 km;Automatinė;Dyzelinas;2.7 l., 140kW
2244;Mazda 6;2013;5 500 €;218 000 km;Mechaninė;Dyzelinas;2.2 l., 110kW
2245;BMW X1;2010;5 500 €;287 100 km;Mechaninė;Dyzelinas;2.0 l., 105kW
2246;BMW 530;2011;5 500 €;269 765 km;Automatinė;Dyzelinas;3.0 l., 180kW
2247;Subaru Forester;2011;5 500 €;248 536 km;Automatinė;Benzinas / dujos;2.0 l., 110kW
2248;Hyundai i40;2013;5 500 €;281 976 km;Mechaninė;Dyzelinas;1.7 l., 85kW
2249;Audi Q7;2006;5 500 €;309 816 km;Automatinė;Dyzelinas;3.0 l., 171kW
2250;Skoda Octavia;2012;5 500 €;232 473 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2251;Opel Insignia;2015;5 500 €;335 000 km;Mechaninė;Dyzelinas;1.6 l., 100kW
2252;Ford Galaxy;2010;5 500 €;352 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2253;Volvo 480;1988;5 500 €;222 100 km;Mechaninė;Benzinas;1.7 l., 88kW
2254;BMW X3;2009;5 500 €;193 696 km;Mechaninė;Dyzelinas;2.0 l., 130kW
2255;Nissan Qashqai;2011;5 500 €;258 000 km;Mechaninė;Dyzelinas;1.5 l., 81kW
2256;Audi A6;2009;5 500 €;302 620 km;Automatinė;Dyzelinas;2.7 l., 140kW
2257;Renault Zoe;2013;5 500 €;82 000 km;Automatinė;Elektra, 26 kWh;43kW
2258;BMW X1;2009;5 500 €;325 208 km;Mechaninė;Dyzelinas;2.0 l., 130kW
2259;Volkswagen Polo;2015;5 500 €;185 000 km;Mechaninė;Dyzelinas;1.4 l., 55kW
2260;Mercedes-Benz E300;2010;5 500 €;282 265 km;Automatinė;Dyzelinas;3.0 l., 150kW
2261;Peugeot 308;2016;5 500 €;264 000 km;Mechaninė;Dyzelinas;1.6 l., 73kW
2262;Peugeot 308;2015;5 500 €;195 000 km;Mechaninė;Benzinas;1.2 l., 81kW
2263;Kia Sorento;2013;5 500 €;221 060 km;Automatinė;Dyzelinas;2.2 l., 145kW
2264;Volkswagen Caddy Maxi;2013;5 500 €;357 000 km;Mechaninė;Dyzelinas;1.6 l., 75kW
2265;Audi A6;2010;5 500 €;288 000 km;Automatinė;Dyzelinas;2.0 l., 125kW
2266;Toyota Prius;2008;5 500 €;300 000 km;Automatinė;Benzinas / elektra;1.5 l., 56kW
2267;Volkswagen Passat Alltrack;2014;5 500 €;419 000 km;Automatinė;Dyzelinas;2.0 l., 130kW
2268;BMW 520;2009;5 500 €;288 369 km;Automatinė;Dyzelinas;2.0 l., 120kW
2269;Skoda Superb;2011;5 500 €;331 527 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2270;Peugeot 308;2014;5 500 €;130 000 km;Mechaninė;Benzinas;1.2 l., 96kW
2271;Volkswagen Jetta;2011;5 500 €;285 164 km;Automatinė;Dyzelinas;1.6 l., 77kW
2272;Land Rover Freelander;2008;5 500 €;187 000 km;Automatinė;Dyzelinas;2.2 l., 118kW
2273;Mercury Cougar;1995;5 500 €;77 643 km;Automatinė;Benzinas;Nenurodyta
2274;Peugeot 5008;2013;5 500 €;191 000 km;Mechaninė;Benzinas;1.6 l., 115kW
2275;Fiat Scudo;2015;5 500 €;290 000 km;Mechaninė;Dyzelinas;2.0 l., 94kW
2276;Volkswagen Golf Plus;2009;5 550 €;214 524 km;Automatinė;Benzinas;1.4 l., 90kW
2277;Volkswagen Golf;2009;5 550 €;271 703 km;Automatinė;Benzinas;1.4 l., 118kW
2278;Toyota Prius;2011;5 550 €;377 000 km;Automatinė;Benzinas / elektra / dujos;1.8 l., 73kW
2279;Volkswagen Golf;2010;5 550 €;206 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2280;Volkswagen Transporter;2013;5 550 €;204 685 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2281;BMW 320;2011;5 550 €;233 123 km;Automatinė;Dyzelinas;Nenurodyta
2282;Fiat 500L;2017;5 555 €;79 772 km;Automatinė;Dyzelinas;1.3 l., 70kW
2283;Hyundai Santa Fe;2011;5 590 €;350 000 km;Automatinė;Dyzelinas;2.2 l., 145kW
2284;Skoda Octavia;2010;5 590 €;241 578 km;Automatinė;Dyzelinas;1.6 l., 77kW
2285;Opel Meriva;2015;5 599 €;238 562 km;Mechaninė;Benzinas;1.4 l., 88kW
2286;Ford Kuga;2014;5 600 €;180 000 km;Automatinė;Benzinas;1.6 l., 134kW
2287;Ford Kuga;2009;5 600 €;276 099 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2288;Opel Insignia;2012;5 600 €;265 609 km;Mechaninė;Dyzelinas;2.0 l., 118kW
2289;Toyota Prius;2010;5 600 €;399 000 km;Automatinė;Benzinas / elektra / dujos;1.8 l., 73kW
2290;BMW 320;2013;5 600 €;301 838 km;Mechaninė;Benzinas;2.0 l., 125kW
2291;Volvo V60;2011;5 600 €;301 072 km;Automatinė;Dyzelinas;2.0 l., 120kW
2292;Mercedes-Benz C220;2010;5 600 €;278 998 km;Automatinė;Dyzelinas;2.2 l., 125kW
2293;Mercedes-Benz ML420;2008;5 600 €;330 000 km;Automatinė;Dyzelinas;4.0 l., 225kW
2294;Volkswagen Touran;2011;5 600 €;186 000 km;Automatinė;Benzinas;1.4 l., 103kW
2295;Volkswagen Tiguan;2009;5 600 €;221 000 km;Mechaninė;Benzinas;1.4 l., 110kW
2296;Ford Tourneo Courier;2017;5 600 €;210 000 km;Mechaninė;Benzinas;Nenurodyta
2297;Seat Leon;2013;5 600 €;200 359 km;Mechaninė;Dyzelinas;1.6 l., 66kW
2298;Peugeot 308;2017;5 600 €;230 000 km;Mechaninė;Dyzelinas;1.6 l., 74kW
2299;Skoda Rapid;2015;5 600 €;243 940 km;Mechaninė;Dyzelinas;1.4 l., 66kW
2300;Opel Zafira;2013;5 600 €;217 000 km;Mechaninė;Dyzelinas;2.0 l., 81kW
2301;Peugeot 308;2014;5 600 €;210 000 km;Mechaninė;Dyzelinas;1.6 l., 74kW
2302;Mazda CX-7;2012;5 650 €;196 000 km;Mechaninė;Dyzelinas;2.2 l., 127kW
2303;Mini Countryman;2016;5 650 €;100 000 km;Mechaninė;Dyzelinas;1.6 l., 82kW
2304;Nissan Murano;2011;5 650 €;93 000 km;Automatinė;Dyzelinas;2.5 l., 140kW
2305;Volkswagen Touran;2009;5 650 €;220 144 km;Automatinė;Dyzelinas;Nenurodyta
2306;Audi A3;2008;5 650 €;Nenurodyta;Mechaninė;Dyzelinas;2.0 l., 103kW
2307;Peugeot 3008;2011;5 650 €;165 809 km;Automatinė;Dyzelinas;2.0 l., 120kW
2308;Toyota Verso;2012;5 650 €;251 000 km;Mechaninė;Dyzelinas;2.0 l., 93kW
2309;Toyota Verso;2012;5 650 €;230 000 km;Mechaninė;Dyzelinas;2.0 l., 93kW
2310;Honda Accord;2011;5 650 €;252 814 km;Automatinė;Benzinas;2.0 l., 115kW
2311;Ford S-MAX;2011;5 650 €;295 895 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2312;Toyota Verso;2011;5 650 €;257 000 km;Mechaninė;Dyzelinas;2.0 l., 93kW
2313;Toyota Yaris;2016;5 650 €;Nenurodyta;Automatinė;Benzinas / elektra;1.5 l., 54kW
2314;Renault Megane;2013;5 650 €;240 000 km;Mechaninė;Dyzelinas;1.6 l., 96kW
2315;Toyota Verso;2009;5 678 €;220 000 km;Mechaninė;Benzinas;1.6 l., 97kW
2316;Skoda Superb;2012;5 699 €;321 141 km;Automatinė;Benzinas;1.8 l., 118kW
2317;Opel Vivaro;2013;5 700 €;242 390 km;Mechaninė;Dyzelinas;2.0 l., 84kW
2318;Peugeot 508;2015;5 700 €;248 000 km;Automatinė;Dyzelinas;1.6 l., 88kW
2319;Audi A4;2009;5 700 €;250 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2320;Nissan Micra;2019;5 700 €;120 000 km;Mechaninė;Dyzelinas;1.5 l., 66kW
2321;Citroen C4 Picasso;2014;5 700 €;215 000 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2322;Mercedes-Benz C320;2008;5 700 €;306 000 km;Automatinė;Dyzelinas;3.0 l., 165kW
2323;Ford Fiesta;2015;5 700 €;63 000 km;Automatinė;Benzinas;1.6 l., 88kW
2324;Citroen C4 Picasso;2016;5 700 €;251 000 km;Mechaninė;Dyzelinas;1.6 l., 88kW
2325;BMW 520;2010;5 700 €;273 465 km;Automatinė;Dyzelinas;2.0 l., 130kW
2326;Peugeot 308;2014;5 700 €;229 687 km;Mechaninė;Dyzelinas;1.6 l., 88kW
2327;Peugeot 308;2015;5 700 €;139 400 km;Mechaninė;Benzinas;1.2 l., 81kW
2328;DS Automobiles DS3;2015;5 700 €;144 000 km;Mechaninė;Benzinas;1.6 l., 121kW
2329;Audi A3;2010;5 700 €;196 000 km;Mechaninė;Benzinas;1.4 l., 92kW
2330;BMW 325;2009;5 700 €;333 123 km;Automatinė;Dyzelinas;3.0 l., 145kW
2331;Chevrolet Captiva;2011;5 700 €;193 000 km;Mechaninė;Dyzelinas;2.2 l., 120kW
2332;Peugeot 208;2019;5 700 €;190 000 km;Mechaninė;Dyzelinas;1.5 l., 75kW
2333;Hyundai Santa Fe;2008;5 700 €;249 287 km;Mechaninė;Dyzelinas;2.2 l., 114kW
2334;BMW 535;2005;5 700 €;Nenurodyta;Automatinė;Dyzelinas;3.0 l., 200kW
2335;Skoda Octavia;2017;5 745 €;232 064 km;Mechaninė;Dyzelinas;1.6 l., 81kW
2336;Volvo V60;2013;5 750 €;245 800 km;Automatinė;Dyzelinas;1.6 l., 85kW
2337;Kia cee'd;2014;5 750 €;96 946 km;Mechaninė;Benzinas;1.4 l., 74kW
2338;Opel Insignia;2011;5 750 €;224 887 km;Automatinė;Dyzelinas;2.0 l., 118kW
2339;Mazda CX-7;2010;5 750 €;173 303 km;Mechaninė;Dyzelinas;2.2 l., 127kW
2340;Chevrolet Orlando;2013;5 750 €;261 090 km;Automatinė;Dyzelinas;2.0 l., 120kW
2341;Volkswagen Golf;2011;5 750 €;203 000 km;Automatinė;Benzinas;1.4 l., 90kW
2342;Ford Kuga;2010;5 750 €;250 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2343;Opel Insignia;2014;5 750 €;266 000 km;Mechaninė;Dyzelinas;2.0 l., 120kW
2344;Nissan Qashqai;2011;5 750 €;191 000 km;Mechaninė;Dyzelinas;1.5 l., 78kW
2345;Opel Mokka;2016;5 750 €;198 000 km;Mechaninė;Dyzelinas;1.6 l., 100kW
2346;Ford C-MAX;2015;5 750 €;132 000 km;Mechaninė;Benzinas;1.0 l., 74kW
2347;Toyota Verso;2011;5 750 €;225 000 km;Mechaninė;Dyzelinas;2.0 l., 93kW
2348;Toyota RAV4;2006;5 777 €;280 000 km;Mechaninė;Dyzelinas;2.2 l., 100kW
2349;Volkswagen Tiguan;2011;5 790 €;315 000 km;Mechaninė;Dyzelinas;2.0 l., 125kW
2350;Mercedes-Benz C180;2007;5 790 €;181 138 km;Mechaninė;Benzinas;1.8 l., 135kW
2351;Mazda CX-7;2011;5 790 €;239 741 km;Mechaninė;Dyzelinas;2.2 l., 127kW
2352;Nissan Qashqai;2012;5 790 €;312 200 km;Mechaninė;Dyzelinas;1.5 l., 81kW
2353;Opel Astra;2015;5 799 €;191 815 km;Mechaninė;Dyzelinas;1.6 l., 81kW
2354;Ford EcoSport;2017;5 800 €;98 556 km;Automatinė;Benzinas;1.5 l., 82kW
2355;BMW 520;1987;5 800 €;228 000 km;Mechaninė;Benzinas;2.0 l., 95kW
2356;BMW 730;2006;5 800 €;301 000 km;Automatinė;Dyzelinas;3.0 l., 170kW
2357;Mercedes-Benz C200;2010;5 800 €;283 571 km;Automatinė;Dyzelinas;2.2 l., 100kW
2358;Volkswagen Polo;2013;5 800 €;116 000 km;Mechaninė;Benzinas;1.2 l., 44kW
2359;Buick Riviera;1979;5 800 €;19 000 km;Automatinė;Benzinas;Nenurodyta
2360;Volvo V60;2010;5 800 €;265 000 km;Mechaninė;Dyzelinas;2.0 l., 120kW
2361;Peugeot 308;2015;5 800 €;219 000 km;Mechaninė;Dyzelinas;1.6 l., 68kW
2362;Audi A6;2010;5 800 €;295 131 km;Automatinė;Dyzelinas;2.0 l., 125kW
2363;Volkswagen Golf;2009;5 800 €;249 080 km;Automatinė;Benzinas;1.4 l., 118kW
2364;Renault Kangoo;2017;5 800 €;200 000 km;Mechaninė;Dyzelinas;1.5 l., 66kW
2365;Mercedes-Benz C200;2009;5 800 €;262 000 km;Automatinė;Dyzelinas;2.2 l., 100kW
2366;Skoda Octavia;2016;5 800 €;398 084 km;Automatinė;Dyzelinas;1.6 l., 81kW
2367;Skoda Octavia;2015;5 800 €;212 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2368;Volkswagen Touran;2011;5 800 €;294 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
2369;BMW X1;2011;5 800 €;139 000 km;Automatinė;Dyzelinas;2.0 l., 104kW
2370;Toyota Prius;2009;5 800 €;260 000 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
2371;Chevrolet Captiva;2011;5 800 €;244 000 km;Mechaninė;Dyzelinas;2.2 l., 120kW
2372;Skoda Superb;2011;5 800 €;235 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2373;BMW 630;2006;5 800 €;243 000 km;Automatinė;Benzinas / dujos;3.0 l., 190kW
2374;Toyota Yaris;2020;5 800 €;15 000 km;Mechaninė;Benzinas;Nenurodyta
2375;Peugeot 208;2019;5 800 €;172 000 km;Mechaninė;Dyzelinas;1.5 l., 75kW
2376;Mini Countryman;2012;5 800 €;90 141 km;Mechaninė;Benzinas;1.6 l., 72kW
2377;Kia cee'd;2016;5 800 €;216 470 km;Mechaninė;Benzinas;1.4 l., 74kW
2378;Peugeot 2008;2016;5 800 €;154 000 km;Mechaninė;Benzinas;1.2 l., 60kW
2379;Peugeot 308;2016;5 800 €;150 000 km;Mechaninė;Benzinas;1.2 l., 81kW
2380;Volkswagen Polo;2015;5 800 €;157 960 km;Mechaninė;Dyzelinas;1.4 l., 55kW
2381;Ford Galaxy;2007;5 800 €;372 115 km;Automatinė;Dyzelinas;2.0 l., 96kW
2382;BMW 320;2010;5 800 €;265 882 km;Mechaninė;Benzinas;2.0 l., 105kW
2383;Ford Fiesta;2017;5 800 €;Nenurodyta;Mechaninė;Dyzelinas;Nenurodyta
2384;Toyota Auris;2011;5 800 €;223 174 km;Mechaninė;Benzinas;1.4 l., 73kW
2385;Audi A6;2007;5 800 €;328 452 km;Automatinė;Benzinas;3.2 l., 188kW
2386;BMW 316;2012;5 800 €;296 714 km;Mechaninė;Dyzelinas;2.0 l., 85kW
2387;Skoda Rapid;2013;5 850 €;168 000 km;Mechaninė;Benzinas;1.2 l., 77kW
2388;Volvo V60;2012;5 850 €;217 000 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2389;BMW 320;2008;5 850 €;280 000 km;Mechaninė;Dyzelinas;2.0 l., 130kW
2390;Toyota Verso-S;2011;5 850 €;260 000 km;Automatinė;Benzinas;1.3 l., 72kW
2391;Ford C-MAX;2013;5 850 €;164 500 km;Mechaninė;Benzinas;1.0 l., 92kW
2392;Mercedes-Benz Vito;2000;5 850 €;246 000 km;Mechaninė;Dyzelinas;2.2 l., 90kW
2393;Volvo V70;2009;5 850 €;275 500 km;Mechaninė;Dyzelinas;2.0 l., 120kW
2394;Kia cee'd;2015;5 850 €;256 000 km;Mechaninė;Dyzelinas;1.6 l., 94kW
2395;Honda Accord;2012;5 850 €;271 000 km;Automatinė;Dyzelinas;2.2 l., 110kW
2396;BMW 525;2011;5 850 €;406 674 km;Automatinė;Dyzelinas;3.0 l., 150kW
2397;Skoda Fabia;2016;5 850 €;213 000 km;Mechaninė;Dyzelinas;1.4 l., 66kW
2398;Volvo V60;2012;5 850 €;239 900 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2399;Ford C-MAX;2011;5 850 €;255 769 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2400;Volvo XC90;2007;5 850 €;300 000 km;Automatinė;Dyzelinas;2.4 l., 136kW
2401;BMW X1;2015;5 883 €;119 500 km;Automatinė;Benzinas;2.0 l., 180kW
2402;Hyundai Santa Fe;2011;5 890 €;300 000 km;Automatinė;Dyzelinas;2.2 l., 145kW
2403;Ford Transit;2011;5 890 €;181 000 km;Mechaninė;Dyzelinas;Nenurodyta
2404;Toyota Avensis;2012;5 890 €;280 000 km;Mechaninė;Dyzelinas;2.0 l., 91kW
2405;Volkswagen Tiguan;2008;5 899 €;285 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2406;Mazda CX-7;2010;5 899 €;241 203 km;Mechaninė;Dyzelinas;2.2 l., 127kW
2407;Mazda CX-7;2010;5 899 €;227 874 km;Mechaninė;Dyzelinas;2.2 l., 127kW
2408;BMW 530;2008;5 899 €;355 000 km;Automatinė;Dyzelinas;3.0 l., 145kW
2409;Hyundai ix35;2010;5 900 €;204 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2410;Ford Kuga;2008;5 900 €;330 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2411;Opel Antara;2013;5 900 €;132 999 km;Mechaninė;Dyzelinas;2.2 l., 120kW
2412;Volvo S60;2010;5 900 €;243 396 km;Automatinė;Dyzelinas;2.0 l., 120kW
2413;Opel Astra;2015;5 900 €;131 400 km;Mechaninė;Benzinas;1.4 l., 103kW
2414;Peugeot 3008;2012;5 900 €;254 000 km;Automatinė;Dyzelinas / elektra;2.0 l., 120kW
2415;Toyota Verso;2016;5 900 €;199 000 km;Mechaninė;Dyzelinas;1.6 l., 82kW
2416;Ford Mondeo;2011;5 900 €;216 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
2417;Audi A6;2011;5 900 €;308 540 km;Automatinė;Dyzelinas;2.7 l., 140kW
2418;Audi A6;2011;5 900 €;305 370 km;Automatinė;Dyzelinas;2.7 l., 140kW
2419;Volkswagen Passat;2011;5 900 €;252 485 km;Automatinė;Dyzelinas;2.0 l., 103kW
2420;BMW 116;2011;5 900 €;202 110 km;Mechaninė;Dyzelinas;2.0 l., 85kW
2421;Land Rover Freelander;2008;5 900 €;264 863 km;Automatinė;Dyzelinas;2.2 l., 118kW
2422;Audi A1;2011;5 900 €;216 222 km;Mechaninė;Benzinas;1.4 l., 90kW
2423;Kia Sportage;2012;5 900 €;238 600 km;Mechaninė;Dyzelinas;1.7 l., 85kW
2424;Volkswagen Golf Plus;2011;5 900 €;165 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2425;Peugeot 3008;2012;5 900 €;159 000 km;Automatinė;Dyzelinas / elektra;Nenurodyta
2426;Opel Antara;2011;5 900 €;182 000 km;Mechaninė;Dyzelinas;2.2 l., 120kW
2427;Dacia Logan;2017;5 900 €;250 867 km;Mechaninė;Dyzelinas;1.5 l., 66kW
2428;Volkswagen Passat;2011;5 900 €;300 000 km;Automatinė;Benzinas / dujos;1.4 l., 110kW
2429;BMW 120;2008;5 900 €;303 000 km;Mechaninė;Dyzelinas;2.0 l., 130kW
2430;Toyota Auris;2013;5 900 €;261 000 km;Mechaninė;Dyzelinas;1.4 l., 66kW
2431;Volkswagen Golf;2012;5 900 €;340 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2432;Nissan Leaf;2016;5 900 €;45 000 km;Automatinė;Elektra;80kW
2433;Volkswagen Golf Plus;2009;5 900 €;129 575 km;Mechaninė;Benzinas;1.4 l., 90kW
2434;Volvo V70;2008;5 900 €;314 548 km;Automatinė;Dyzelinas;2.4 l., 120kW
2435;Opel Antara;2012;5 900 €;234 000 km;Mechaninė;Dyzelinas;2.2 l., 135kW
2436;Ford Focus;2013;5 900 €;89 000 km;Mechaninė;Benzinas;1.0 l., 74kW
2437;Ford S-MAX;2010;5 900 €;230 960 km;Mechaninė;Dyzelinas;2.2 l., 129kW
2438;Peugeot 5008;2014;5 900 €;230 000 km;Automatinė;Dyzelinas;1.6 l., 85kW
2439;Nissan Qashqai;2010;5 900 €;367 600 km;Mechaninė;Dyzelinas;1.6 l., 84kW
2440;BMW 525;2008;5 900 €;304 124 km;Automatinė;Dyzelinas;3.0 l., 145kW
2441;Ford Transit;2012;5 900 €;305 487 km;Mechaninė;Dyzelinas;2.2 l., 92kW
2442;BMW 320;2009;5 900 €;Nenurodyta;Mechaninė;Dyzelinas;Nenurodyta
2443;Volkswagen Golf;2012;5 900 €;297 140 km;Mechaninė;Benzinas;1.4 l., 90kW
2444;Seat Leon;2014;5 950 €;263 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
2445;Opel Insignia;2013;5 950 €;300 000 km;Automatinė;Dyzelinas;2.0 l., 96kW
2446;Volkswagen Transporter;2004;5 950 €;270 000 km;Mechaninė;Dyzelinas;1.9 l., 77kW
2447;Volkswagen Golf;2013;5 950 €;256 500 km;Mechaninė;Dyzelinas;1.6 l., 81kW
2448;Chevrolet Captiva;2009;5 950 €;248 000 km;Automatinė;Dyzelinas;2.0 l., 110kW
2449;Hyundai Tucson;2005;5 950 €;143 996 km;Mechaninė;Benzinas;2.0 l., 103kW
2450;Lancia Delta;2013;5 950 €;172 306 km;Mechaninė;Dyzelinas;1.6 l., 88kW
2451;Nissan Qashqai;2010;5 950 €;242 092 km;Mechaninė;Dyzelinas;1.5 l., 76kW
2452;Opel Zafira Tourer;2013;5 950 €;258 369 km;Mechaninė;Dyzelinas;2.0 l., 96kW
2453;Toyota Yaris;2012;5 950 €;214 400 km;Automatinė;Dyzelinas;1.4 l., 66kW
2454;Ford Focus;2014;5 950 €;187 000 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2455;Ford Kuga;2009;5 950 €;173 055 km;Mechaninė;Dyzelinas;2.0 l., 100kW
2456;BMW X3;2008;5 950 €;275 000 km;Mechaninė;Benzinas;2.0 l., 110kW
2457;Mercedes-Benz Citan;2014;5 950 €;264 000 km;Mechaninė;Dyzelinas;1.5 l., 66kW
2458;Opel Insignia;2015;5 950 €;195 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
2459;Renault Trafic;2009;5 950 €;224 800 km;Automatinė;Dyzelinas;2.5 l., 107kW
2460;Ford Galaxy;2013;5 950 €;310 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
2461;BMW X1;2012;5 950 €;220 000 km;Mechaninė;Dyzelinas;2.0 l., 105kW
2462;Volvo V60;2011;5 950 €;244 855 km;Mechaninė;Dyzelinas;1.6 l., 85kW
2463;Volkswagen Transporter;2008;5 950 €;167 900 km;Mechaninė;Dyzelinas;1.9 l., 75kW
2464;BMW 320;2010;5 950 €;290 000 km;Mechaninė;Dyzelinas;2.0 l., 130kW
2465;Opel Antara;2014;5 950 €;190 000 km;Mechaninė;Dyzelinas;2.2 l., 120kW
2466;Mercedes-Benz C220;2010;5 950 €;234 430 km;Automatinė;Dyzelinas;2.1 l., 125kW
