;gamintojas;metai;kaina;rida;pavaros;kuras;variklis
86;Volkswagen Touareg;2005;3 500 €;286 544 km;Automatinė;Dyzelinas;3.0 l., 165kW
87;Volkswagen Golf;2010;3 500 €;296 558 km;Mechaninė;Dyzelinas;Nenurodyta
88;Jeep Grand Cherokee;2005;3 500 €;284 664 km;Automatinė;Dyzelinas;Nenurodyta
89;BMW 320;2008;3 500 €;248 646 km;Mechaninė;Dyzelinas;Nenurodyta
90;BMW 320;2006;3 500 €;284 564 km;Automatinė;Dyzelinas;2.0 l., 120kW
91;Toyota RAV4;2006;3 550 €;283 000 km;Mechaninė;Dyzelinas;2.2 l., 100kW
92;Volkswagen Golf;2008;3 750 €;231 855 km;Mechaninė;Dyzelinas;1.9 l., 77kW
93;Volkswagen Sharan;2008;3 900 €;259 658 km;Automatinė;Dyzelinas;1.9 l., 85kW
94;Hyundai i40;2013;3 900 €;294 646 km;Mechaninė;Dyzelinas;Nenurodyta
95;BMW 118;2008;3 900 €;284 846 km;Automatinė;Dyzelinas;2.0 l., 105kW
96;Mercedes-Benz E220;2008;3 900 €;375 026 km;Automatinė;Dyzelinas;2.2 l., 125kW
97;Volkswagen Touareg;2006;4 000 €;288 654 km;Automatinė;Dyzelinas;3.0 l., 165kW
98;BMW 535;2009;4 150 €;455 691 km;Automatinė;Dyzelinas;3.0 l., 210kW
99;Suzuki Grand Vitara;2008;4 400 €;284 946 km;Mechaninė;Dyzelinas;1.9 l., 95kW
100;Volkswagen Passat;2016;4 425 €;140 000 km;Automatinė;Benzinas;1.8 l., 125kW
101;Toyota Corolla;2008;4 500 €;26 584 km;Automatinė;Benzinas;1.6 l., 91kW
102;BMW 320;2008;4 500 €;294 956 km;Automatinė;Dyzelinas;Nenurodyta
103;BMW 330;2007;4 500 €;296 555 km;Mechaninė;Dyzelinas;3.0 l., 170kW
104;Mercedes-Benz E350;2011;4 500 €;245 344 km;Automatinė;Dyzelinas;3.0 l., 170kW
105;Toyota Prius;2008;4 500 €;190 000 km;Automatinė;Benzinas / elektra;1.5 l., 57kW
106;Land Rover Freelander;2007;4 900 €;278 000 km;Automatinė;Dyzelinas;2.2 l., 118kW
107;Volvo XC90;2005;4 900 €;286 545 km;Automatinė;Dyzelinas;2.4 l., 120kW
108;Renault Trafic;2008;4 900 €;312 584 km;Mechaninė;Dyzelinas;Nenurodyta
109;Kia Sorento;2008;4 900 €;202 489 km;Automatinė;Dyzelinas;2.5 l., 125kW
110;Nissan Qashqai;2008;5 500 €;210 848 km;Automatinė;Dyzelinas;2.0 l., 110kW
111;Volvo V60;2012;5 750 €;312 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
112;Nissan e-NV200;2017;5 800 €;65 700 km;Automatinė;Elektra, 24 kWh;80kW
113;Hyundai i40;2014;5 900 €;296 467 km;Mechaninė;Dyzelinas;Nenurodyta
114;BMW 530;2003;5 999 €;430 000 km;Automatinė;Dyzelinas;3.0 l., 160kW
115;Volkswagen Passat;2012;6 000 €;183 100 km;Automatinė;Benzinas;2.5 l., 125kW
116;Chevrolet Trax;2014;6 300 €;203 387 km;Mechaninė;Dyzelinas;1.7 l., 96kW
117;BMW X1;2010;7 150 €;264 321 km;Automatinė;Dyzelinas;2.0 l., 150kW
118;Toyota Prius;2009;7 350 €;219 000 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
119;Volkswagen Touran;2012;7 999 €;293 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
120;BMW 520;2013;8 350 €;261 184 km;Automatinė;Dyzelinas;2.0 l., 135kW
121;BMW 530;2011;8 400 €;446 840 km;Automatinė;Dyzelinas;3.0 l., 190kW
122;Volkswagen Caddy;2015;8 400 €;217 000 km;Mechaninė;Dyzelinas;2.0 l., 55kW
123;BMW 525;2012;8 500 €;300 000 km;Automatinė;Dyzelinas;2.0 l., 160kW
124;Audi A6;2011;8 500 €;325 000 km;Automatinė;Dyzelinas;3.0 l., 180kW
125;Peugeot 508;2019;8 700 €;66 398 km;Automatinė;Dyzelinas;2.0 l., 130kW
126;Volkswagen Passat;2018;8 900 €;294 947 km;Automatinė;Dyzelinas;Nenurodyta
127;Audi A6;2015;9 000 €;300 000 km;Automatinė;Benzinas;3.0 l., 245kW
128;Volkswagen Passat;2015;9 200 €;185 000 km;Automatinė;Dyzelinas;1.6 l., 88kW
129;Nissan X-Trail;2014;9 300 €;285 000 km;Automatinė;Dyzelinas;1.6 l., 96kW
130;Mercedes-Benz Sprinter;2014;9 600 €;660 000 km;Mechaninė;Dyzelinas;2.2 l., 120kW
131;Volkswagen Passat;2017;9 700 €;187 450 km;Mechaninė;Benzinas;1.4 l., 92kW
132;Volkswagen Passat;2017;9 700 €;171 429 km;Mechaninė;Benzinas;1.4 l., 92kW
133;Hyundai ix35;2014;9 900 €;172 987 km;Mechaninė;Dyzelinas;2.0 l., 100kW
134;Audi A6;2012;9 999 €;222 222 km;Automatinė;Dyzelinas;3.0 l., 150kW
135;Volkswagen Caddy;2017;10 000 €;170 000 km;Mechaninė;Dyzelinas;2.0 l., 55kW
136;Audi A6;2012;11 100 €;240 000 km;Automatinė;Dyzelinas;2.0 l., 130kW
137;Audi A6;2013;12 500 €;266 000 km;Automatinė;Benzinas;2.8 l., 150kW
138;Audi A6;2012;12 700 €;308 000 km;Automatinė;Dyzelinas;3.0 l., 230kW
139;Honda CR-V;2015;12 900 €;271 243 km;Automatinė;Benzinas;2.4 l., 136kW
140;Audi A6;2012;13 500 €;335 450 km;Automatinė;Dyzelinas;3.0 l., 230kW
141;Audi A6;2015;13 950 €;250 000 km;Automatinė;Dyzelinas;3.0 l., 160kW
142;Audi A6;2016;14 200 €;185 500 km;Automatinė;Benzinas;2.0 l., 185kW
143;Subaru Outback;2016;14 250 €;129 000 km;Automatinė;Benzinas / dujos;2.5 l., 129kW
144;Volkswagen Golf;2019;14 350 €;157 168 km;Automatinė;Dyzelinas;2.0 l., 110kW
145;Volkswagen Passat;2019;14 500 €;296 588 km;Automatinė;Dyzelinas;Nenurodyta
146;Volvo XC70;2016;14 950 €;293 000 km;Automatinė;Dyzelinas;2.4 l., 162kW
147;Audi A8;2010;15 500 €;313 000 km;Automatinė;Dyzelinas;4.1 l., 257kW
148;Audi Q5;2016;16 000 €;194 000 km;Automatinė;Benzinas;3.0 l., 200kW
149;Infiniti QX56;2011;16 300 €;190 000 km;Automatinė;Benzinas;5.6 l., 294kW
150;Renault Trafic;2021;16 819 €;403 000 km;Mechaninė;Dyzelinas / elektra;2.0 l., 88kW
151;Audi A6 allroad;2016;16 999 €;243 525 km;Automatinė;Dyzelinas;3.0 l., 235kW
152;Nissan 400Z;2024;17 400 €;6 473 km;Mechaninė;Benzinas;3.0 l., 298kW
153;Citroen DS7 Crossback;2018;17 700 €;125 000 km;Automatinė;Benzinas;165kW
154;BMW 535;2016;17 700 €;115 100 km;Automatinė;Benzinas;3.0 l., 225kW
155;Toyota Proace City Verso;2022;17 900 €;67 000 km;Mechaninė;Dyzelinas;1.5 l., 75kW
156;Chrysler 300C;2013;18 500 €;190 000 km;Automatinė;Benzinas;6.4 l., 357kW
157;Volkswagen Tiguan;2018;18 950 €;107 112 km;Automatinė;Benzinas;1.4 l., 110kW
158;Volkswagen Passat;2019;19 300 €;63 680 km;Automatinė;Dyzelinas;2.0 l., 110kW
159;Volkswagen Golf;2021;19 550 €;142 619 km;Automatinė;Dyzelinas;2.0 l., 110kW
160;Volkswagen Transporter;2009;19 999 €;317 000 km;Mechaninė;Dyzelinas;1.9 l., 75kW
161;Volkswagen Passat;2020;20 500 €;127 342 km;Automatinė;Dyzelinas;2.0 l., 110kW
162;Skoda Karoq;2019;20 600 €;139 419 km;Automatinė;Benzinas;1.5 l., 110kW
163;Volkswagen Passat;2019;20 600 €;51 668 km;Automatinė;Benzinas;1.5 l., 110kW
164;Volkswagen Passat;2019;20 800 €;153 539 km;Automatinė;Dyzelinas;2.0 l., 140kW
165;Volkswagen Passat;2020;21 150 €;140 562 km;Automatinė;Dyzelinas;2.0 l., 110kW
166;Volkswagen Passat;2021;21 500 €;159 718 km;Automatinė;Dyzelinas;2.0 l., 110kW
167;Volkswagen Tiguan;2020;21 990 €;150 014 km;Automatinė;Dyzelinas;2.0 l., 110kW
168;Volkswagen Tiguan;2020;21 990 €;136 462 km;Automatinė;Dyzelinas;2.0 l., 110kW
169;Toyota RAV4;2017;22 385 €;97 800 km;Automatinė;Benzinas / elektra;2.5 l., 114kW
170;Volkswagen Tiguan;2018;22 550 €;81 974 km;Automatinė;Dyzelinas;2.0 l., 110kW
171;Volkswagen Passat;2019;22 650 €;95 891 km;Automatinė;Benzinas;2.0 l., 140kW
172;Volkswagen Golf;2021;22 900 €;46 427 km;Automatinė;Benzinas / elektra;1.4 l., 180kW
173;Volkswagen Tiguan;2021;22 950 €;102 922 km;Automatinė;Benzinas;1.5 l., 110kW
174;Volkswagen Passat;2020;23 050 €;127 443 km;Automatinė;Benzinas;2.0 l., 200kW
175;Volkswagen Tiguan;2020;23 350 €;123 002 km;Automatinė;Benzinas;1.5 l., 110kW
176;Volkswagen Passat;2020;23 400 €;151 971 km;Automatinė;Dyzelinas;2.0 l., 140kW
177;Volkswagen Passat;2022;23 450 €;71 878 km;Automatinė;Benzinas;1.5 l., 110kW
178;Volkswagen Passat;2022;23 450 €;61 639 km;Automatinė;Benzinas;1.5 l., 110kW
179;Volkswagen Passat;2022;23 450 €;86 375 km;Automatinė;Benzinas;1.5 l., 110kW
180;Volkswagen Passat;2021;23 500 €;155 357 km;Automatinė;Dyzelinas;2.0 l., 147kW
181;Volkswagen Tiguan;2020;23 550 €;123 607 km;Automatinė;Dyzelinas;2.0 l., 176kW
182;BMW X5;2014;24 100 €;278 000 km;Automatinė;Dyzelinas;3.0 l., 230kW
183;Mitsubishi Eclipse Cross;2022;24 400 €;20 000 km;Automatinė;Benzinas / elektra;2.4 l., 138kW
184;Volkswagen Tiguan;2020;24 450 €;147 658 km;Automatinė;Dyzelinas;2.0 l., 110kW
185;BMW X5;2015;25 999 €;204 850 km;Automatinė;Dyzelinas;3.0 l., 280kW
