gamintojas;metai;kaina;rida;pavaros;kuras;kW
0;2012;9999.0;248000.0;1;1;135.0
4;2016;9999.0;320000.0;1;1;133.0
2;2013;10000.0;112998.0;1;0;125.0
0;2013;10200.0;286000.0;0;1;105.0
6;2016;10300.0;170000.0;0;0;90.0
7;2015;10350.0;254000.0;1;1;110.0
3;2019;10400.0;62000.0;0;0;85.0
20;2018;10500.0;253876.0;1;1;81.0
13;2015;10600.0;201300.0;1;1;118.0
0;2012;10650.0;267000.0;1;1;135.0
4;2023;10800.0;18000.0;1;0;74.0
0;2012;10800.0;250000.0;1;1;225.0
2;2012;10900.0;277150.0;1;1;130.0
2;2014;10900.0;219131.0;1;1;140.0
0;2014;10999.0;304000.0;1;1;160.0
0;2012;10999.0;273000.0;1;1;120.0
2;2013;10999.0;356583.0;0;1;130.0
0;2013;11000.0;309000.0;1;1;120.0
14;2015;11000.0;170370.0;0;1;81.0
0;2013;11000.0;340000.0;1;1;190.0
6;2016;11299.0;300000.0;1;1;100.0
26;2019;11350.0;49000.0;0;0;74.0
20;2021;11495.0;63240.0;1;0;103.0
2;2011;11500.0;278500.0;1;1;150.0
0;2011;11500.0;214000.0;1;0;180.0
2;2017;11500.0;139000.0;1;0;147.0
3;2013;11500.0;270000.0;1;1;180.0
2;2010;11700.0;201000.0;1;1;176.0
0;2011;11700.0;302000.0;1;1;135.0
14;2015;11750.0;120873.0;1;0;191.0
6;2015;11800.0;335000.0;1;1;125.0
6;2015;11800.0;300000.0;1;1;150.0
0;2011;11800.0;310500.0;1;1;190.0
12;2019;11900.0;252775.0;1;1;125.0
7;2015;11950.0;240000.0;1;0;129.0
0;2013;12000.0;319973.0;1;1;190.0
2;2012;12000.0;213000.0;1;1;180.0
0;2011;12000.0;288000.0;1;1;221.0
3;2016;12100.0;100202.0;1;0;125.0
20;2020;12200.0;6590.0;0;1;70.0
20;2019;12260.0;132873.0;0;1;89.0
19;2012;12350.0;104300.0;1;1;175.0
28;2013;12450.0;400000.0;1;3;164.0
3;2015;12500.0;252000.0;1;3;150.0
0;2012;12650.0;262000.0;1;1;230.0
0;2016;12700.0;301650.0;1;1;140.0
3;2012;12850.0;196100.0;1;1;103.0
30;2021;12900.0;80000.0;1;2;225.0
3;2011;12900.0;293800.0;1;1;250.0
9;2012;12950.0;248000.0;1;1;188.0
0;2010;12999.0;241000.0;1;1;225.0
2;2013;13200.0;236000.0;1;1;180.0
0;2016;13200.0;194570.0;1;1;120.0
16;2018;13600.0;161000.0;1;3;104.0
18;2021;13700.0;178000.0;1;1;85.0
0;2010;13700.0;248300.0;1;1;210.0
9;2010;13800.0;241000.0;1;0;276.0
6;2014;13948.0;200000.0;1;0;225.0
21;2019;13950.0;116060.0;0;1;74.0
6;2010;14000.0;238500.0;1;1;173.0
2;2015;14100.0;253000.0;1;1;160.0
1;2019;14300.0;194300.0;1;1;110.0
21;2019;14600.0;82000.0;0;1;96.0
5;2015;14600.0;310000.0;1;1;133.0
1;2019;14850.0;151200.0;1;1;110.0
1;2023;14900.0;21000.0;1;0;81.0
2;2016;15000.0;247000.0;1;1;140.0
26;2016;15000.0;163000.0;1;1;154.0
3;2020;15125.0;91500.0;0;0;96.0
6;2015;15200.0;231373.0;0;0;115.0
3;2020;15300.0;186000.0;1;1;70.0
0;2014;15300.0;141552.0;1;1;135.0
20;2018;15400.0;215000.0;0;1;125.0
3;2020;15500.0;175100.0;1;1;70.0
26;2019;15500.0;70000.0;1;0;177.0
5;2018;15500.0;334624.0;1;0;187.0
0;2014;15500.0;196000.0;1;1;280.0
1;2017;15500.0;256000.0;1;1;140.0
6;2017;15500.0;290000.0;1;1;100.0
6;2012;15550.0;285700.0;1;1;179.0
1;2020;15700.0;144044.0;1;1;110.0
7;2018;15700.0;165600.0;1;0;115.0
3;2016;15800.0;124000.0;1;0;132.0
16;2017;16000.0;68500.0;1;1;104.0
16;2019;16000.0;53200.0;0;0;97.0
6;2018;16300.0;207000.0;1;1;143.0
2;2017;16400.0;134000.0;1;0;200.0
3;2018;16500.0;193000.0;0;1;85.0
29;2020;16700.0;102600.0;1;1;85.0
3;2017;16800.0;223000.0;1;1;110.0
14;2019;16900.0;62767.0;1;0;118.0
0;2012;16999.0;210000.0;1;1;225.0
0;2015;16999.0;150000.0;1;0;180.0
3;2018;17300.0;153211.0;1;1;110.0
1;2019;17500.0;157854.0;1;1;110.0
28;2015;17500.0;388991.0;1;5;207.0
